subjID	participant	shift	activity	explosion	pumps
15D11	15	D1	1	1	12
15D11	15	D1	1	0	55
15D11	15	D1	1	0	20
15D11	15	D1	1	0	86
15D11	15	D1	1	0	43
15D11	15	D1	1	1	85
15D11	15	D1	1	0	36
15D11	15	D1	1	1	88
15D11	15	D1	1	0	50
15D11	15	D1	1	0	32
15D11	15	D1	1	0	90
15D11	15	D1	1	0	27
15D11	15	D1	1	0	48
15D11	15	D1	1	1	46
15D11	15	D1	1	1	57
15D11	15	D1	1	1	40
15D11	15	D1	1	0	44
15D11	15	D1	1	1	63
15D11	15	D1	1	0	56
15D11	15	D1	1	1	3
15D11	15	D1	1	1	23
15D11	15	D1	1	1	15
15D11	15	D1	1	1	7
15D11	15	D1	1	0	50
15D11	15	D1	1	1	1
15D11	15	D1	1	0	84
15D11	15	D1	1	0	62
15D11	15	D1	1	0	40
15D11	15	D1	1	0	90
15D11	15	D1	1	0	17
15D12	15	D1	2	1	39
15D12	15	D1	2	0	40
15D12	15	D1	2	0	20
15D12	15	D1	2	1	52
15D12	15	D1	2	0	76
15D12	15	D1	2	0	50
15D12	15	D1	2	1	69
15D12	15	D1	2	1	52
15D12	15	D1	2	1	22
15D12	15	D1	2	1	29
15D12	15	D1	2	0	20
15D12	15	D1	2	0	40
15D12	15	D1	2	1	54
15D12	15	D1	2	1	49
15D12	15	D1	2	0	46
15D12	15	D1	2	1	30
15D12	15	D1	2	0	75
15D12	15	D1	2	1	12
15D12	15	D1	2	0	40
15D12	15	D1	2	1	13
15D12	15	D1	2	1	28
15D12	15	D1	2	1	30
15D12	15	D1	2	0	12
15D12	15	D1	2	0	14
15D12	15	D1	2	0	48
15D12	15	D1	2	1	43
15D12	15	D1	2	0	64
15D12	15	D1	2	1	3
15D12	15	D1	2	0	30
15D12	15	D1	2	1	14
15D21	15	D2	1	0	64
15D21	15	D2	1	0	64
15D21	15	D2	1	1	16
15D21	15	D2	1	0	64
15D21	15	D2	1	0	64
15D21	15	D2	1	1	36
15D21	15	D2	1	1	31
15D21	15	D2	1	0	64
15D21	15	D2	1	0	64
15D21	15	D2	1	0	64
15D21	15	D2	1	0	64
15D21	15	D2	1	1	43
15D21	15	D2	1	0	64
15D21	15	D2	1	1	60
15D21	15	D2	1	0	64
15D21	15	D2	1	1	43
15D21	15	D2	1	1	39
15D21	15	D2	1	1	48
15D21	15	D2	1	1	63
15D21	15	D2	1	0	64
15D21	15	D2	1	1	12
15D21	15	D2	1	0	64
15D21	15	D2	1	1	64
15D21	15	D2	1	1	50
15D21	15	D2	1	1	40
15D21	15	D2	1	1	13
15D21	15	D2	1	1	6
15D21	15	D2	1	0	64
15D21	15	D2	1	1	7
15D21	15	D2	1	1	35
15D22	15	D2	2	1	20
15D22	15	D2	2	0	32
15D22	15	D2	2	0	11
15D22	15	D2	2	0	64
15D22	15	D2	2	1	41
15D22	15	D2	2	1	28
